Energy,Cross_section_pb,pid,momentum,parent_pids,theta,phi
449.647202,7.6689e-07,,,,,
,,22,"(0.13947489039651859, -0.07602929236337128, 0.8416588218946918, 0.8565181088696002)","(111, 90)",0.18654154834448514,5.7841034199494485
,,,,,,
,,-13,"(-0.18575033119377812, 0.09042309785847792, 16.86518982363176, 16.866786040763582)","(14, 2)",0.012248892409202546,2.6885614095688366
,,39,"(-1.8061433744207622, 1.244379365725282, 391.5597530174253, 392.0739188747785)","(39, 39)",0.005601425515957113,2.5383075088147002
,,-211,"(-0.3781319122822941, -0.12749176944569196, 2.496313014889027, 2.5318563046837794)","(1, 2103)",0.15851314159143398,3.466785177956667
,,2112,"(-0.22223789747785408, -0.405474710987086, 3.28947186984107, 3.4521321515407175)","(1, 2103)",0.13965000302762673,4.211010967245643
,,211,"(0.8172831065175066, 0.24636808881746064, 9.51273034486814, 9.551971906913339)","(113, 90)",0.08949367939479544,0.2927844030421791
,,-211,"(0.5467473674253474, -0.870304867700902, 13.392315322089308, 13.432421699667508)","(113, 90)",0.0765950148624528,5.273304111908702
,,211,"(0.10292427531031378, -0.20842663367923697, 1.332956355774244, 1.3602527336395867)","(213, 90)",0.17265386540403851,5.171076656133569
,,22,"(-0.053715808299021194, -0.06483069074165827, 0.0896653224442282, 0.12299705920177581)","(111, 90)",0.7539308677520898,4.020477199047157
,,22,"(0.06048543178667877, -0.10310466336914559, 0.2886482091341067, 0.31242094632596706)","(111, 90)",0.39262470716707415,5.242927837178531
,,22,"(0.7953364089751219, 0.1958639457344365, 7.994056108000888, 8.035910386916122)","(111, 90)",0.10210712923926504,0.24146079527146136
,,22,"(0.32320273365874364, 0.0025988377880607136, 2.7938174865376038, 2.8124514056398597)","(111, 90)",0.11517670870349977,0.008040717201652033
,,,,,,
,,-13,"(2.023980143718003, -0.6489856326612876, 31.539718248842615, 31.61143257154825)","(14, 2)",0.06728893678982588,5.972894464328797
,,39,"(1.053447118906419, 2.668121968510213, 378.97809569921185, 379.51381093490727)","(39, 39)",0.00756904783964125,1.1947572010311978
,,211,"(0.07406248537296509, -1.492320457032929, 7.7018508935762515, 7.84668672561865)","(1, 2103)",0.19161948853660918,4.761977370272273
,,2112,"(-2.719099435970355, -0.41328328495235844, 28.56192374199255, 28.709416302750103)","(1114, 90)",0.09599753797628234,3.292430887282589
,,-211,"(-0.43239031202701894, -0.1135325938636905, 2.833328291012639, 2.871772975246624)","(1114, 90)",0.15649147018150583,3.3983661883457645
,,,,,,
,,-13,"(-0.6868995842359098, 0.2928594678231778, 7.297731369698249, 7.336596273926693)","(-13, 90)",0.10196796843754627,2.7385793092354103
,,39,"(-0.28416716238019624, 2.1610183033082464, 414.15042754134805, 414.6365087985248)","(39, 39)",0.005262826033940246,1.7015430503302016
,,22,"(1.970945789484447e-09, 2.7681993276010233e-09, 7.169647780575636e-09, 7.934192089931444e-09)","(22, 22)",0.4426043533579845,0.9520648994095419
,,-211,"(0.9184285179786043, -0.3115574108683684, 6.96962349420542, 7.038161009722891)","(1, 2101)",0.1382637878085964,5.956138243337371
,,211,"(0.7516315707572633, -1.2413664222391596, 11.40008672252828, 11.49292815945908)","(1, 2101)",0.12661507158317406,5.256833475063179
,,2112,"(0.2577322751047269, -0.7437210789687502, 6.2627694247582735, 6.3815844130999455)","(1, 2101)",0.12502576560882658,5.04598188343977
,,22,"(-0.39671356692199716, -0.0065323236571279975, 1.5581585673166425, 1.6078813533139145)","(111, 90)",0.2493396338354252,3.1580572616170635
,,22,"(-0.5600120522734467, -0.15070053816622309, 1.9761197476109749, 2.0594594940889634)","(111, 90)",0.2854565342494601,3.4044676063673354
,,,,,,
,,-13,"(-0.4647000866377658, -1.0026945931208986, 37.11667491798423, 37.133274345531596)","(14, 2)",0.029766063355177164,4.2784054490066605
,,39,"(1.0650044053891008, 0.6909071103003697, 352.79442456742595, 353.36047407391817)","(39, 39)",0.0035983490820170314,0.5754864033684136
,,-321,"(0.07563580920003002, 0.5105994889305031, 4.065687367874215, 4.127949409745885)","(1, 2101)",0.1262823010325255,1.4237343751086307
,,2212,"(1.202821837884611, 0.5379552229043498, 6.346622580653653, 6.5495148652175015)","(1, 2101)",0.20470477491221442,0.4205599303846239
,,321,"(-0.54834151500716, -0.22921442617631332, 14.945196892702073, 14.96515445206896)","(313, 90)",0.03974575918717716,3.537531241547708
,,-211,"(-0.9592389112359093, -0.3838376533934743, 27.68654618715622, 27.70616881114072)","(313, 90)",0.03729990378936355,3.5222267196145856
,,211,"(-0.07524321046793568, 0.26758468061530316, 2.242716037291629, 2.2641815543031396)","(113, 90)",0.12331124790161442,1.8449118952500072
,,-211,"(-0.2959383291249602, -0.39129983005983043, 4.417048323547522, 4.446401998144579)","(113, 90)",0.11061778812659269,4.064870865539646
,,,,,,
,,-13,"(0.39773948970579176, 0.04932210700753701, 9.335225202623892, 9.344422025530278)","(14, 2)",0.04290629968801247,0.12337622646733039
,,39,"(3.4557764422983936, 1.773816279347296, 350.36317270834655, 350.9523452694612)","(39, 39)",0.011086419893006016,0.4742231746631942
,,-211,"(-1.3396392339281566, -0.8109526577822912, 30.04012062342958, 30.08123342460118)","(1, 2101)",0.052082305502272726,3.6859378126538878
,,321,"(-1.4011689178414475, -0.042533536065814295, 27.816480526465195, 27.856155374703683)","(1, 2101)",0.05035250337103228,3.171939086671393
,,-211,"(0.07666433296784447, 0.15344375763551413, 0.12863242909408873, 0.2558290316233804)","(1, 2101)",0.9273503572351512,1.107448785951497
,,2212,"(-0.1919074118137034, 0.025079335170893245, 5.956551026022101, 6.033101038957217)","(2214, 90)",0.03248039841441203,3.0116445279227406
,,22,"(-0.028579399759916684, -0.06328781543389364, 0.282383020773104, 0.29079597674998037)","(111, 90)",0.24112805743096083,4.288223371186053
,,22,"(-0.022827735523550136, -0.02592111571445614, 1.339988670814003, 1.3404337535510273)","(111, 90)",0.0257706108561222,3.990361300311436
,,22,"(-0.07256000900151505, -0.0853826813723319, 1.6517029079008863, 1.655499215690806)","(111, 90)",0.06773517278581835,4.007998753358848
,,22,"(-0.047159423424772515, 0.041451314271496204, 1.921523693452427, 1.9225492262024522)","(111, 90)",0.03266407301086771,2.420523411757758
,,22,"(-0.32130750742143965, -0.2961761804924208, 6.69803564128737, 6.712275344186378)","(111, 90)",0.06514894505414173,3.8863136867494648
,,22,"(-0.5050306262575208, -0.7188588065715238, 14.081100424426257, 14.108479828812913)","(111, 90)",0.06230991288413979,4.0999570354057955
,,,,,,
,,-13,"(0.7580852335487046, 1.1874275996661643, 42.66802268771526, 42.69140430626238)","(14, 2)",0.033005378549494035,1.0026002151272728
,,39,"(1.0255299180196322, 0.4764835756228887, 358.8372089888627, 359.3932781062992)","(39, 39)",0.003151328025432542,0.4349466810636543
,,321,"(-0.07761004818993511, 0.48037535864212144, 7.839281474165575, 7.869868981016526)","(1, 2101)",0.06199303357006637,1.730973506458521
,,-321,"(-0.14342450150827382, -0.9708404716716119, 4.748919450927717, 4.874326384524129)","(1, 2101)",0.20378422322487902,4.565717560946214
,,2212,"(-0.14792763659559532, -0.18171476570338285, 3.6032873722246603, 3.730808668570004)","(1, 2101)",0.06493629081177602,4.029130445538266
,,-211,"(-0.7112824458542178, -0.9562732846546405, 18.02972218368467, 18.069608272413536)","(-213, 90)",0.06600579887878717,4.072863401442007
,,22,"(-0.006567698067629666, -0.12402117276022614, 0.49952437842985215, 0.5147319599524199)","(111, 90)",0.24368545241932255,4.659482135355291
,,22,"(0.001078292624014605, -0.004295384252311615, 0.6330699960946242, 0.6330854863255875)","(111, 90)",0.006995417696401187,4.958341707261262
,,22,"(-0.5086191865855894, 0.00976043980350192, 8.69248563045304, 8.707358679805301)","(111, 90)",0.05845661018776233,3.1224049347571388
,,22,"(-0.18926192739106223, 0.08309810530747472, 4.063394712077371, 4.068648664901384)","(111, 90)",0.050825274550540145,2.7278702033811313
,,,,,,
,,-13,"(0.0522681583936111, 0.4357341905884865, 4.344465535118325, 4.367853141608658)","(14, 2)",0.10067388930079356,1.4514125233774202
,,39,"(-0.70534970299128, -0.09454655410397148, 392.67266950252633, 393.1799065012848)","(39, 39)",0.0018123423865950893,3.27484050574478
